type,question,options
NUMBER,What is your employee ID number?,employee ID
NUMBER,What is the project budget in dollars?,budget
NUMBER,How many employees are in the department?,employee count
NUMBER,What is the annual revenue target?,revenue
NUMBER,What is the client account number?,account number
NUMBER,How many hours did you work this week?,work hours
NUMBER,What is the zip code of the office location?,zip code
NUMBER,What is the sales target for this quarter?,sales target
NUMBER,How many products were sold last month?,product sales
NUMBER,What is the total number of clients?,client count
NUMBER,What is the invoice number?,invoice number
NUMBER,How many meetings did you attend this week?,meeting count
NUMBER,What is the company's tax ID number?,tax ID
NUMBER,What is the total project cost?,project cost
NUMBER,How many days of vacation did you take last year?,vacation days
NUMBER,What is the order number?,order number
NUMBER,What is the quantity of items ordered?,order quantity
NUMBER,What is the year the company was founded?,foundation year
NUMBER,How many years of experience do you have?,experience years
NUMBER,What is the size of the team in number of people?,team size
NUMBER,What is the number of the building?,building number
NUMBER,What is the room number for the meeting?,room number
NUMBER,What is the current stock price?,stock price
NUMBER,How many shares of stock do you own?,stock shares
NUMBER,What is the total number of units produced?,units produced
NUMBER,What is the percentage of market share?,market share
NUMBER,What is the customer satisfaction rating (on a scale of 1-10)?,satisfaction rating
NUMBER,What is the number of defects found?,defect count
NUMBER,How many days are left until the deadline?,days until deadline
NUMBER,What is the current interest rate?,interest rate
NUMBER,What is the amount of the loan?,loan amount
NUMBER,What is the average customer lifetime value?,customer lifetime value
NUMBER,What is the number of website visitors per day?,website visitors
NUMBER,What is the conversion rate percentage?,conversion rate
NUMBER,How many social media followers do we have?,social media followers
NUMBER,What is the average order value?,average order value
NUMBER,What is the number of support tickets resolved today?,support tickets resolved
NUMBER,What is the average response time to customer inquiries?,response time
NUMBER,What is the employee turnover rate (as a percentage)?,employee turnover
NUMBER,What is the net profit margin (as a percentage)?,net profit margin
NUMBER,How many marketing campaigns were run last year?,marketing campaigns
NUMBER,What is the return on investment (ROI) percentage?,ROI
NUMBER,What is the total number of active users?,active users
NUMBER,What is the customer churn rate (as a percentage)?,customer churn
NUMBER,What is the average deal size in dollars?,deal size
NUMBER,How many proposals were submitted this month?,proposals submitted
NUMBER,What is the closing rate for sales leads (as a percentage)?,closing rate
NUMBER,What is the total number of employees?,employee count
NUMBER,How many tons of steel were produced last quarter?,production output
NUMBER,What is the average daily energy consumption in kWh?,energy consumption
NUMBER,What is the current inventory level of raw materials?,inventory level
NUMBER,How many safety incidents occurred this year?,safety incidents
NUMBER,What is the average machine downtime in hours per week?,machine downtime
NUMBER,What is the target production volume for next month?,production target
NUMBER,What is the total budget allocated for maintenance this year?,budget allocation
NUMBER,What is the number of welding machines currently in operation?,equipment count
NUMBER,How many tons of waste were generated last month?,waste generation
NUMBER,What is the average employee tenure in years?,employee tenure
NUMBER,What is the current order backlog in units?,order backlog
NUMBER,What is the total number of quality control checks performed daily?,quality control checks
NUMBER,How many customer complaints were received this quarter?,customer complaints
NUMBER,What is the average cost per unit produced?,production cost
NUMBER,What is the current market share percentage?,market share
NUMBER,How many hours of training were provided to employees last year?,training hours
NUMBER,What is the total number of patents held by the company?,patent count
NUMBER,What is the average employee satisfaction rating (out of 5)?,employee satisfaction
NUMBER,What is the total revenue generated last fiscal year?,revenue
NUMBER,How many new projects were initiated this year?,project count
NUMBER,What is the total amount spent on research and development last year?,R&D expenditure
NUMBER,What is the plant's total capacity in square meters?,plant capacity
NUMBER,How many suppliers does the company currently have?,supplier count
NUMBER,What is the average lead time for order fulfillment in days?,lead time
NUMBER,What is the on-time delivery rate in percentage?,delivery rate
NUMBER,What is the total number of forklifts used in the warehouse?,equipment count
NUMBER,How many safety training sessions were conducted last quarter?,training sessions
NUMBER,What is the target reduction in energy consumption by next year?,energy reduction target
NUMBER,What is the number of defective units produced last month?,defect count
NUMBER,What is the total number of certifications held by the company?,certification count
NUMBER,What is the average age of the machinery in years?,machinery age
NUMBER,What is the total number of vehicles in the company fleet?,fleet size
NUMBER,How many skilled laborers are employed in the plant?,labor count
NUMBER,What is the total area of the factory floor in square feet?,factory floor area
NUMBER,How many different product lines does the company manufacture?,product line count
NUMBER,What is the average length of a production run in hours?,production run length
