Context,Generated Q&A
"generate question: ['Design Blogs', ' Design Magazines', ' Social Media', ' Industry Conferences', ' Design Workshops'] SINGLE-SELECT explanatory",Question: What are your favorite design media? Answer: I'm a big fan of Design Magazines. I'm also a big fan of Social Media.
generate question: ['Text'] TEXT explanatory,Generate a question and answer
generate question: ['Date'] DATE concise,Question: When was the last time you checked in? Provide a date. Answer: The last time you checked in was the last time you checked in? Provide a date. Provide a date.
generate question: ['frequency'] NUMBER verbose,Question: How many times a day do you use your phone? Answer: I use my phone a lot.
generate question: ['Date'] DATE annoyed,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year. It's the 1st of October every year.
generate question: ['Date'] DATE explanatory,Question: What is the date of your next meeting? Provide a date. Answer: The date of your next meeting will be announced.
generate question: ['order backlog'] NUMBER colloquial,Question: What is the order backlog? Answer: The order backlog is a huge problem.
"generate question: ['Extract Method', ' Rename Method', ' Move Method', ' Extract Class', ' Inline Method'] MULTI-SELECT colloquial",Question: What is your favorite method to extract data from a file? Answer: It's the most efficient way to extract data from a file. It's the most efficient way to extract data from a file.
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Bulldozers', ' Excavator', ' Cranes', ' Forklifts', ' Heavy-duty trucks'] MULTI-SELECT colloquial","Question: What types of trucks do you use? Answer: I use forklifts, forklifts and forklifts."
generate question: ['Text'] TEXT concise,Generate a question and answer
"generate question: ['Encouraging experimentation', ' Investing in research and development', ' Creating a culture of innovation', ' Partnering with external innovators', ' Protecting intellectual property'] MULTI-SELECT colloquial",Question: What are your company's priorities for the future? Answer: We're investing in research and development. We partner with external innovators.
generate question: ['active users'] NUMBER annoyed,Question: How many active users do you have? Provide a list of active users. Answer: I have a lot of active users.
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT verbose",Question: What is your level of knowledge? Answer: I'm a beginner.
generate question: ['Date'] DATE verbose,Question: What is your date of birth? Provide a date. Answer: The date of birth is the 1st of October every year.
