type,question,options,answer,tone,difficulty
SINGLE-SELECT,Are you currently using a similar product?,Yes; No,Yes,verbose,short
SINGLE-SELECT,Are you currently using a similar product?,Yes; No,Yes,concise,short
SINGLE-SELECT,Are you currently using a similar product?,Yes; No,Yes,colloquial,short
SINGLE-SELECT,Are you currently using a similar product?,Yes; No,Yes,explanatory,short
SINGLE-SELECT,Are you currently using a similar product?,Yes; No,Yes,annoyed,short
SINGLE-SELECT,Are you familiar with DevOps practices?,Yes; No,Yes,verbose,short
SINGLE-SELECT,Are you familiar with DevOps practices?,Yes; No,Yes,concise,short
SINGLE-SELECT,Are you familiar with DevOps practices?,Yes; No,Yes,colloquial,short
SINGLE-SELECT,Are you familiar with DevOps practices?,Yes; No,Yes,explanatory,short
SINGLE-SELECT,Are you familiar with DevOps practices?,Yes; No,Yes,annoyed,short
SINGLE-SELECT,Are you satisfied with the amount of communication you receive from our team?,Yes; No,Yes,verbose,short
SINGLE-SELECT,Are you satisfied with the amount of communication you receive from our team?,Yes; No,Yes,concise,short
SINGLE-SELECT,Are you satisfied with the amount of communication you receive from our team?,Yes; No,Yes,colloquial,short
SINGLE-SELECT,Are you satisfied with the amount of communication you receive from our team?,Yes; No,Yes,explanatory,short
SINGLE-SELECT,Are you satisfied with the amount of communication you receive from our team?,Yes; No,Yes,annoyed,short
SINGLE-SELECT,Communication frequency,Daily; Weekly; Bi-weekly; Monthly,Daily,verbose,short
SINGLE-SELECT,Communication frequency,Daily; Weekly; Bi-weekly; Monthly,Daily,concise,short
SINGLE-SELECT,Communication frequency,Daily; Weekly; Bi-weekly; Monthly,Daily,colloquial,short
SINGLE-SELECT,Communication frequency,Daily; Weekly; Bi-weekly; Monthly,Daily,explanatory,short
SINGLE-SELECT,Communication frequency,Daily; Weekly; Bi-weekly; Monthly,Daily,annoyed,short
SINGLE-SELECT,Communication style preference,Formal; Informal,Formal,verbose,short
SINGLE-SELECT,Communication style preference,Formal; Informal,Formal,concise,short
SINGLE-SELECT,Communication style preference,Formal; Informal,Formal,colloquial,short
SINGLE-SELECT,Communication style preference,Formal; Informal,Formal,explanatory,short
SINGLE-SELECT,Communication style preference,Formal; Informal,Formal,annoyed,short
SINGLE-SELECT,Do you have any accessibility needs that affect communication?,Yes; No,Yes,verbose,short
SINGLE-SELECT,Do you have any accessibility needs that affect communication?,Yes; No,Yes,concise,short
SINGLE-SELECT,Do you have any accessibility needs that affect communication?,Yes; No,Yes,colloquial,short
SINGLE-SELECT,Do you have any accessibility needs that affect communication?,Yes; No,Yes,explanatory,short
SINGLE-SELECT,Do you have any accessibility needs that affect communication?,Yes; No,Yes,annoyed,short
SINGLE-SELECT,Do you have any specific requirements for this project?,Yes; No,No,verbose,short
SINGLE-SELECT,Do you have any specific requirements for this project?,Yes; No,No,concise,short
SINGLE-SELECT,Do you have any specific requirements for this project?,Yes; No,No,colloquial,short
SINGLE-SELECT,Do you have any specific requirements for this project?,Yes; No,No,explanatory,short
SINGLE-SELECT,Do you have any specific requirements for this project?,Yes; No,No,annoyed,short
SINGLE-SELECT,Do you prefer synchronous or asynchronous communication?,Synchronous; Asynchronous; Both,Asynchronous,verbose,short
SINGLE-SELECT,Do you prefer synchronous or asynchronous communication?,Synchronous; Asynchronous; Both,Asynchronous,concise,short
SINGLE-SELECT,Do you prefer synchronous or asynchronous communication?,Synchronous; Asynchronous; Both,Asynchronous,colloquial,short
SINGLE-SELECT,Do you prefer synchronous or asynchronous communication?,Synchronous; Asynchronous; Both,Asynchronous,explanatory,short
SINGLE-SELECT,Do you prefer synchronous or asynchronous communication?,Synchronous; Asynchronous; Both,Asynchronous,annoyed,short
SINGLE-SELECT,Do you prefer to communicate in writing or verbally?,Writing; Verbally; Both equally,Verbally,verbose,short
SINGLE-SELECT,Do you prefer to communicate in writing or verbally?,Writing; Verbally; Both equally,Verbally,concise,short
