question,type,options,answer,model,tone,difficulty
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,verbose,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,concise,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,colloquial,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,explanatory,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,T5,annoyed,short
