type,question,options
MULTI_SELECT,Which social media platforms do you use for marketing?,Facebook; Instagram; Twitter; LinkedIn; TikTok; YouTube
MULTI-SELECT,What types of marketing content do you find most effective?,Blog posts; Videos; Infographics; Case studies; Email newsletters; Social media posts
MULTI-SELECT,What are your primary goals for this marketing campaign?,Increase brand awareness; Generate leads; Drive sales; Improve customer engagement; Build customer loyalty
MULTI-SELECT,What are your preferred methods of customer communication?,Email; Phone; Chat; Social media; In-person meetings
MULTI-SELECT,What challenges are you facing in your current marketing efforts?,Lack of budget; Lack of time; Lack of resources; Difficulty measuring ROI; Keeping up with industry trends
MULTI-SELECT,What are your company's core values?,Innovation; Customer satisfaction; Integrity; Teamwork; Sustainability
MULTI-SELECT,What skills are you looking for in a new employee?,Communication; Problem-solving; Teamwork; Leadership; Technical skills
MULTI-SELECT,What types of training programs are you interested in?,Technical skills training; Leadership training; Management training; Communication skills training; Sales training
MULTI-SELECT,What are your biggest concerns about the future of your industry?,Economic downturn; Increased competition; Technological disruption; Regulatory changes; Talent shortages
MULTI-SELECT,What are your company's biggest achievements?,Winning a major award; Launching a successful new product; Expanding into new markets; Achieving significant revenue growth; Building a strong brand reputation
MULTI-SELECT,What are your favorite hobbies?,Reading; Hiking; Cooking; Traveling; Playing sports
MULTI-SELECT,What types of events do you typically attend?,Conferences; Trade shows; Seminars; Workshops; Networking events
MULTI-SELECT,What are your primary sources of information about industry trends?,Industry publications; News websites; Social media; Conferences and trade shows; Industry analysts
MULTI-SELECT,What are your preferred methods for staying up-to-date on industry news?,Reading industry publications; Attending industry events; Following industry influencers on social media; Subscribing to industry newsletters; Listening to industry podcasts
MULTI-SELECT,What are some of the key challenges facing your business?,Competition; Economic conditions; Technology changes; Regulations; Finding and retaining talent
MULTI-SELECT,What are your company's primary revenue streams?,Product sales; Service revenue; Subscription fees; Licensing fees; Advertising revenue
MULTI-SELECT,What are your company's key performance indicators (KPIs)?,Revenue; Profit margin; Customer acquisition cost; Customer lifetime value; Customer satisfaction
MULTI-SELECT,What types of technology does your company use?,Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT)
