Context,Generated Q&A
"generate question: ['Cloud computing', ' Big data analytics', ' Artificial intelligence', ' Machine learning', ' Internet of Things (IoT)'] MULTI-SELECT explanatory",Question: What technologies do you use most frequently? Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT explanatory,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This has been on my mind for a while. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE verbose,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 13 January, 2021"
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: This has been on my mind for a while. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT verbose",Question: What level of knowledge do you have? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 13 August, 2020"
"generate question: ['Difficulty identifying qualified leads', ' Inefficient lead follow-up', ' Lack of visibility into the sales pipeline', ' Poor lead data quality', ' Lack of reporting and analytics'] MULTI-SELECT annoyed",Question: What are your biggest challenges with lead follow-up? Answer: This is a valid and contextually appropriate response.
generate question: ['current'] NUMBER colloquial,Question: What is the current status of the project? Provide a list. Answer: This is a valid and contextually appropriate response.
generate question: ['BMI'] NUMBER concise,"Question: What is your company's business model? Provide a brief description of your business model. Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT colloquial,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This is a challenging topic. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: It's a topic of great interest to me. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Creativity', ' Problem-solving', ' Technical Skills', ' Communication Skills', ' Collaboration'] SINGLE-SELECT annoyed","Question: What are your skills? Answer: Leadership, teamwork, adaptability."
generate question: ['order number'] NUMBER explanatory,Question: What is your order number? Provide a number. Answer: This is a valid response.
generate question: ['stock shares'] NUMBER colloquial,Question: How many shares of stock do you own? Answer: This is a valid response.
generate question: ['Date'] DATE colloquial,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 12 February, 2023 (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Visual Studio', ' IntelliJ IDEA', ' Eclipse', ' VS Code', ' Sublime Text'] SINGLE-SELECT colloquial","Question: What is your preferred programming language? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['labor count'] NUMBER verbose,Question: What is the labor count? Provide a number. Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT explanatory,"Question: What are your thoughts on this topic? Provide a brief description. Answer: It's a topic of great interest to me. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['grocery spending'] NUMBER verbose,Question: How much did you spend on groceries? Provide a list. Answer: This is a valid and contextually appropriate response.
generate question: ['employee count'] NUMBER colloquial,Question: What is your employee count? Provide a number. Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 02 April, 2020"
generate question: ['Date'] DATE verbose,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 08 December, 2020"
generate question: ['Text'] TEXT colloquial,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This is a challenging topic. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT colloquial,"Question: What are your thoughts on this topic? Provide a brief description. Answer: I have mixed feelings about this. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT concise",Question: What level of knowledge do you have? Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT explanatory,"Question: What are your thoughts on this topic? Provide a brief description. Answer: I've been considering this deeply. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['year'] NUMBER annoyed,Question: What is the year of your birth? Provide a year of birth. Answer: This is a valid and contextually appropriate response.
"generate question: ['Data entry errors', ' Data inconsistencies', ' Lack of data standardization', ' Difficulty accessing accurate data', ' Outdated data'] MULTI-SELECT annoyed",Question: What causes data entry errors? Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: This is a challenging topic. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Beginner', ' Intermediate', ' Advanced'] SINGLE-SELECT colloquial",Question: What level of knowledge do you have? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 03 June, 2024"
generate question: ['foundation year'] NUMBER concise,"Question: What is the foundation year of the company? Provide a date. Answer: 07 March, 2022"
generate question: ['recommendation likelihood'] NUMBER annoyed,Question: How likely are you to receive a recommendation? Provide a number. Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: I have mixed feelings about this. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT concise,"Question: What are your thoughts on this topic? Provide a brief answer. Answer: This has been on my mind for a while. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 26 September, 2025"
"generate question: ['Referral programs', ' Social media marketing', ' Content marketing', ' Email marketing', ' Paid advertising'] MULTI-SELECT colloquial","Question: What are your favorite marketing channels? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Under $1 million', ' $1 million - $10 million', ' $10 million - $100 million', ' Over $100 million'] SINGLE-SELECT colloquial",Question: What is your budget? Answer: This is a valid and contextually appropriate response.
generate question: ['Date'] DATE verbose,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 17 August, 2020"
generate question: ['satisfaction rating'] NUMBER explanatory,"Question: What is your satisfaction rating? Provide a rating. Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT verbose,"Question: What are your thoughts on this topic? Provide a brief description. Answer: This has been on my mind for a while. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 16 June, 2024"
generate question: ['Date'] DATE verbose,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 28 August, 2021"
"generate question: ['Increase Revenue', ' Reduce Costs', ' Improve Efficiency', ' Expand Market Share'] SINGLE-SELECT colloquial","Question: What are your company's goals for the coming year? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Diversifying suppliers', ' Developing strong supplier relationships', ' Implementing supplier performance management systems', ' Developing contingency plans', ' Monitoring geopolitical events'] MULTI-SELECT verbose","Question: What are your company's strategies for managing supplier performance management systems? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['inventory level'] NUMBER explanatory,"Question: What is the inventory level of the company? Provide a number. Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT explanatory,"Question: What are your thoughts on this topic? Provide a brief description. Answer: I have mixed feelings about this. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE annoyed,"Question: When was the last time you checked in? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 23 February, 2024 (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['years of education'] NUMBER colloquial,Question: How many years of education did you receive? Answer: This is a valid and contextually appropriate response.
"generate question: ['Git', ' SVN', ' Mercurial'] MULTI-SELECT verbose",Question: What tools do you use to manage your data? Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: I have mixed feelings about this. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE concise,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 07 March, 2024"
"generate question: ['Regular inspections', ' Testing', ' Statistical process control (SPC)', ' ISO 9001 certification', ' Six Sigma methodology'] MULTI-SELECT verbose","Question: What types of inspections do you perform? Answer: This is a valid and contextually appropriate response. (Original Time Expression: 'in', Precise Date: 205-02-02)"
"generate question: ['Nature', ' Architecture', ' Music', ' Literature', ' Technology'] SINGLE-SELECT explanatory",Question: What is your favorite genre? Answer: This is a valid and contextually appropriate response.
generate question: ['Text'] TEXT verbose,"Question: What are your thoughts on this topic? Provide a brief description. Answer: I've been considering this deeply. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Text'] TEXT annoyed,"Question: What are your thoughts on this project? Provide a solution. Answer: This has been on my mind for a while. (Original Time Expression: 'in', Precise Date: 205-02-02)"
generate question: ['Date'] DATE explanatory,"Question: What date did you receive your certificate? Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Provide a date. Answer: 13 November, 2023"
"generate question: ['Patents', ' Trademarks', ' Copyrights', ' Trade secrets', ' Non-disclosure agreements'] MULTI-SELECT concise",Question: What types of trade secrets do you use? Answer: This is a valid and contextually appropriate response.
