type,question,options
DATE,What is your date of birth? Provide a date.,Date
DATE,When did you purchase our product? Provide a date.,Date
DATE,What date did the issue begin? Provide a date.,Date
DATE,When is your next appointment? Provide a date.,Date
DATE,What is the delivery date? Provide a date.,Date
DATE,When did you last contact customer support? Provide a date.,Date
DATE,What is the warranty expiration date? Provide a date.,Date
DATE,When did you first encounter this problem? Provide a date.,Date
DATE,What is your preferred date for a service call? Provide a date.,Date
DATE,When did you submit your order? Provide a date.,Date
DATE,What is the invoice date? Provide a date.,Date
DATE,When is your preferred shipping date? Provide a date.,Date
DATE,When did the payment process begin? Provide a date.,Date
DATE,When did you receive the confirmation email? Provide a date.,Date
DATE,What is the return deadline? Provide a date.,Date
DATE,When did the refund process start? Provide a date.,Date
DATE,When did you complete the online form? Provide a date.,Date
DATE,When will the product be ready for pickup? Provide a date.,Date
DATE,What date is your next review scheduled? Provide a date.,Date
DATE,When did you sign the contract? Provide a date.,Date
DATE,What is the project completion date? Provide a date.,Date
DATE,When did the trial period begin? Provide a date.,Date
DATE,When did you subscribe to the service? Provide a date.,Date
DATE,What is the due date for payment? Provide a date.,Date
DATE,When did the event take place? Provide a date.,Date
DATE,When did you receive your first shipment? Provide a date.,Date
DATE,What is the latest date for feedback submission? Provide a date.,Date
DATE,When was the product released? Provide a date.,Date
DATE,When was the service outage reported? Provide a date.,Date
DATE,When was the last software update installed? Provide a date.,Date
DATE,When is the next scheduled maintenance? Provide a date.,Date
DATE,What is the date of the next billing cycle? Provide a date.,Date
DATE,When did you register your account? Provide a date.,Date
DATE,When was the warranty claim submitted? Provide a date.,Date
DATE,When is your preferred date for delivery? Provide a date.,Date
DATE,What is the date of your last purchase? Provide a date.,Date
DATE,When did you start using our service? Provide a date.,Date
DATE,What date did you attend the webinar? Provide a date.,Date
DATE,When was the last time you updated your profile? Provide a date.,Date
DATE,What is the start date for the training course? Provide a date.,Date
DATE,When was the technical support ticket resolved? Provide a date.,Date
DATE,When did you complete the survey? Provide a date.,Date
DATE,What is the expiration date of the coupon? Provide a date.,Date
DATE,When is the conference scheduled? Provide a date.,Date
DATE,What is the deadline for submitting your application? Provide a date.,Date
DATE,When was the account created? Provide a date.,Date
DATE,When did you receive the product? Provide a date.,Date
DATE,What is the end date of your subscription? Provide a date.,Date
DATE,What is the date of your next scheduled maintenance?,Date
DATE,What date did the equipment malfunction?,Date
DATE,When was the last safety inspection conducted? Provide a date.,Date
DATE,On what date did the project officially commence? Provide a date.,Date
