question,type,options,answer,model,tone,difficulty
What are some of the key challenges facing your business?,MULTI-SELECT,Competition; Economic conditions; Technology changes; Regulations; Finding and retaining talent,Competition is one of the key challenges facing your business The key challenges facing your business include Competition Economic conditions Technology changes Finding and retaining talent Finding and retaining talentFinding and retaining talent,Gemini,explanatory,long
What are your company's key performance indicators (KPIs)?,MULTI-SELECT,Revenue; Profit margin; Customer acquisition cost; Customer lifetime value; Customer satisfaction,Revenue is the companys key performance indicator Customer lifetime value is the companys key performance indicator Customer satisfaction is the companys key performance indicator,Gemini,verbose,long
What are your company's key performance indicators (KPIs)?,MULTI-SELECT,Revenue; Profit margin; Customer acquisition cost; Customer lifetime value; Customer satisfaction,Revenue is the companys key performance indicator Customer lifetime value is the companys key performance indicator Customer satisfaction is the companys key performance indicator,Gemini,annoyed,long
What are your company's strategies for reducing costs?,MULTI-SELECT,Negotiating better prices with suppliers; Improving efficiency; Reducing waste; Automating tasks; Outsourcing non-core functions,Improving efficiency is a strategy for reducing costs Reducing waste is a strategy for reducing costs Outsourcing noncore functions is a strategy for reducing costs,Gemini,verbose,long
What are your company's strategies for reducing costs?,MULTI-SELECT,Negotiating better prices with suppliers; Improving efficiency; Reducing waste; Automating tasks; Outsourcing non-core functions,Improving efficiency is a strategy for reducing costs Reducing waste is a strategy for reducing costs Outsourcing noncore functions is a strategy for reducing costs,Gemini,colloquial,long
What are your company's strategies for reducing costs?,MULTI-SELECT,Negotiating better prices with suppliers; Improving efficiency; Reducing waste; Automating tasks; Outsourcing non-core functions,Improving efficiency is one of the strategies for reducing costs Reducing waste is one of the strategies for reducing costs Outsourcing noncore functions is one of the strategies for reducing costs,Gemini,annoyed,long
What are your sales team's key performance indicators (KPIs)?,MULTI-SELECT,Revenue generated; Number of deals closed; Average deal size; Sales cycle length; Customer acquisition cost (CAC),Revenue generated is the number of deals closedSales cycle length is the number of deals closed Customer acquisition cost is the number of deals closed,Gemini,colloquial,long
What are your sales team's key performance indicators (KPIs)?,MULTI-SELECT,Revenue generated; Number of deals closed; Average deal size; Sales cycle length; Customer acquisition cost (CAC),Revenue generated is the number of deals closed Sales cycle length is the number of deals closed Customer acquisition cost is the number of deals closed,Gemini,annoyed,long
What types of content do you find most effective for lead generation?,MULTI-SELECT,Blog posts; Case studies; White papers; Webinars; Ebooks; Infographics,Blog posts are the most effective for lead generation Webinars are the most effective for lead generation Ebooks are the most effective for lead generation,Gemini,annoyed,long
What types of industrial automation systems do you use?,MULTI-SELECT,Programmable Logic Controllers (PLCs); Supervisory Control and Data Acquisition (SCADA); Distributed Control Systems (DCS); Human-Machine Interfaces (HMIs); Industrial Ethernet,I use programmable Logic Controllers PLCs Supervisory Control and Data Acquisition SCADA Distributed Control Systems DCS HumanMachine Interfaces HMIs Industrial Ethernet,Gemini,verbose,long
What types of technology does your company use?,MULTI-SELECT,Cloud computing; Big data analytics; Artificial intelligence; Machine learning; Internet of Things (IoT),Cloud computing is the most popular type of technology Artificial intelligence is the most popular type of technology Machine learning is the most popular type of technology,Gemini,annoyed,long
What types of waste are generated by your operations?,MULTI-SELECT,Solid waste; Hazardous waste; Liquid waste; Gaseous emissions; Recyclable materials,Solid waste is generated by your operations Liquid waste is generated by your operations Hazardous waste is generated by your operations Recyclable materials are generated by your operations,Gemini,verbose,long
