question,type,options,answer,model,tone,difficulty
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,Gemini,verbose,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,Gemini,concise,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,Gemini,colloquial,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,Gemini,explanatory,short
Are you currently using a similar product?,SINGLE-SELECT,Yes; No,Yes,Gemini,annoyed,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,Gemini,verbose,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,Gemini,concise,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,Gemini,colloquial,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,Gemini,explanatory,short
Are you familiar with DevOps practices?,SINGLE-SELECT,Yes; No,Yes,Gemini,annoyed,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,Gemini,verbose,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,Gemini,concise,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,Gemini,colloquial,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,Gemini,explanatory,short
Are you satisfied with the amount of communication you receive from our team?,SINGLE-SELECT,Yes; No,Yes,Gemini,annoyed,short
Communication frequency,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily,Gemini,verbose,short
Communication frequency,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily,Gemini,concise,short
Communication frequency,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily,Gemini,colloquial,short
Communication frequency,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily,Gemini,explanatory,short
Communication frequency,SINGLE-SELECT,Daily; Weekly; Bi-weekly; Monthly,Daily,Gemini,annoyed,short
Communication style preference,SINGLE-SELECT,Formal; Informal,Formal,Gemini,verbose,short
Communication style preference,SINGLE-SELECT,Formal; Informal,Formal,Gemini,concise,short
Communication style preference,SINGLE-SELECT,Formal; Informal,Formal,Gemini,colloquial,short
Communication style preference,SINGLE-SELECT,Formal; Informal,Formal,Gemini,explanatory,short
Communication style preference,SINGLE-SELECT,Formal; Informal,Formal,Gemini,annoyed,short
