question,type,options,t5_answer_verbose
Describe any areas where cost savings could be achieved.,TEXT,Text,I would like to see a reduction in the amount of time it takes to complete a project.
Describe any areas where the company could improve its compliance with regulatory requirements.,TEXT,Text,I think the company could improve its compliance with regulatory requirements.
Describe any areas where the convention fell short of expectations.,TEXT,Text,I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that. I'm sorry to hear that.
Describe any challenges in delivering the message.,TEXT,Text,"I'm not sure if it's a problem or not, but I think it's a problem."
Describe any incidents or near misses that occurred.,TEXT,Text,I've had a lot of near misses.
Describe any instances of unfairness you observed during the convention.,TEXT,Text,"I'm not sure if I'm being unfair, but I'm not sure if I'm being unfair."
Describe the agent's demeanor.,TEXT,Text,I think he's a good person.
Describe the audience for the communication.,TEXT,Text,The public.
Describe the challenges associated with maintaining aging equipment.,TEXT,Text,aging equipment is a major issue.
Describe the challenges associated with managing a diverse workforce.,TEXT,Text,I think diversity is a very important part of the job.
